Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID,price_per_unit,total_value,revenue_category,year,month,day
,rivers,KEYBOARD,47.0,155703.69921212122,7318073.862969697,2025-04-27,Online,,155703.69921212122,7318073.862969697,High,2025,4,27
Allison Hill,Lagos,Headphones,47.0,267992.94,12595668.18,2024-03-15,Wholesale,4c636e95-025f-4543-8997-623ae0723d96,267992.94,12595668.18,High,2024,3,15
Noah Rhodes,Anambra,Keyboard,47.0,42364.41,1991127.2700000003,2024-12-10,,edaf3766-1b78-4ede-9a4f-fc0c9165f2ed,42364.41,1991127.2700000003,High,2024,12,10
Angie Henderson,Delta,Keyboard,47.0,279444.94,13133912.18,2024-04-05,,74503887-48d9-4846-95c5-51fcfba57cc8,279444.94,13133912.18,High,2024,4,5
Daniel Wagner,Delta,Tablet,47.0,95899.74,4507287.78,2025-01-12,,8639bd41-8b15-4d94-a42d-0cd7fd359f6a,95899.74,4507287.78,High,2025,1,12
Cristian Santos,Oyo,Camera,47.0,118189.9,5554925.3,2023-08-30,Direct,225aed6c-f045-4043-a3a6-8a707e710b55,118189.9,5554925.3,High,2023,8,30
Connie Lawrence,Rivers,Tablet,36.0,185141.9,6665108.4,2024-09-10,Wholesale,45d8a6ad-77d0-459e-8114-14f8d9df0d0e,185141.9,6665108.399999999,High,2024,9,10
Abigail Shaffer,Imo,Keyboard,47.0,252859.28,11884386.16,2024-09-04,Online,54a7b69b-1cd6-4b09-8f0e-6d2b315c167a,252859.28,11884386.16,High,2024,9,4
Gina Moore,Kano,CAMERA,47.0,178320.53,8381064.91,2024-02-21,Wholesale,a5f60735-757b-4b29-bb2a-a1462999394c,178320.53,8381064.91,High,2024,2,21
Gabrielle Davis,plateau,Tablet,47.0,152440.84,7164719.4799999995,2025-06-02,Direct,039b058c-2faa-4e0b-b7f6-0cdf41dc1c60,152440.84,7164719.4799999995,High,2025,6,2
Ryan Munoz,Niger,Keyboard,47.0,155703.69921212122,7318073.862969697,2024-02-28,Direct,4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81,155703.69921212122,7318073.862969697,High,2024,2,28
Monica Herrera,Abuja,Laptop,3.0,153159.37,459478.11,2025-05-02,Retail,317304b5-c1dd-484a-aca5-8d95915a1c30,153159.37,459478.11,High,2025,5,2
Jamie Arnold,Lagos,Tablet,43.0,147209.07,6329990.01,2023-11-10,Wholesale,a383889a-db2c-4ac8-9c67-83932ced3c0d,147209.07,6329990.010000001,High,2023,11,10
,Kano,Camera,47.0,169095.82,7947503.54,2025-01-13,,6d7df5d0-d3b5-4af7-a7ce-378fe5a4983b,169095.82,7947503.54,High,2025,1,13
Lisa Hensley,Enugu,Tablet,27.0,142730.33,3853718.91,2025-01-12,Direct,,142730.33,3853718.9099999997,High,2025,1,12
